,Experience Level,Country or Area,Education level,Qualification level,Statutory salary,Measure,Unit of measure,Statutory time,Actual Salary per Hour
1885,15 years of Experience,Luxembourg,Primary education,Maximum qualification at this stage of career,104604.25,Total statutory working time,Hours per year,1394.4,75.01739099254159
1886,15 years of Experience,Luxembourg,Primary education,Maximum qualification at this stage of career,104604.25,Statutory working time required at school,Hours per year,989.6,105.7035670978173
1887,15 years of Experience,Luxembourg,Primary education,Minimum qualification at this stage of career,104604.25,Statutory teaching time,Hours per year,809.6,129.20485424901185
1888,15 years of Experience,Luxembourg,Primary education,Minimum qualification at this stage of career,104604.25,Total statutory working time,Hours per year,1394.4,75.01739099254159
1889,15 years of Experience,Luxembourg,Primary education,Minimum qualification at this stage of career,104604.25,Statutory working time required at school,Hours per year,989.6,105.7035670978173
1890,15 years of Experience,Luxembourg,Primary education,Most prevalent qualification at this stage of career,104604.25,Statutory teaching time,Hours per year,809.6,129.20485424901185
1891,15 years of Experience,Luxembourg,Primary education,Most prevalent qualification at this stage of career,104604.25,Total statutory working time,Hours per year,1394.4,75.01739099254159
1892,15 years of Experience,Luxembourg,Primary education,Most prevalent qualification at this stage of career,104604.25,Statutory working time required at school,Hours per year,989.6,105.7035670978173
1893,Maximum Experience,Luxembourg,Primary education,Maximum qualification at this stage of career,126575.92,Statutory teaching time,Hours per year,809.6,156.3437747035573
1894,Maximum Experience,Luxembourg,Primary education,Maximum qualification at this stage of career,126575.92,Total statutory working time,Hours per year,1394.4,90.7744693057946
1895,Maximum Experience,Luxembourg,Primary education,Maximum qualification at this stage of career,126575.92,Statutory working time required at school,Hours per year,989.6,127.90614389652384
1896,Maximum Experience,Luxembourg,Primary education,Minimum qualification at this stage of career,126575.92,Statutory teaching time,Hours per year,809.6,156.3437747035573
1897,Maximum Experience,Luxembourg,Primary education,Minimum qualification at this stage of career,126575.92,Total statutory working time,Hours per year,1394.4,90.7744693057946
1898,Maximum Experience,Luxembourg,Primary education,Minimum qualification at this stage of career,126575.92,Statutory working time required at school,Hours per year,989.6,127.90614389652384
1899,Maximum Experience,Luxembourg,Primary education,Most prevalent qualification at this stage of career,126575.92,Statutory teaching time,Hours per year,809.6,156.3437747035573
1900,Maximum Experience,Luxembourg,Primary education,Most prevalent qualification at this stage of career,126575.92,Total statutory working time,Hours per year,1394.4,90.7744693057946
1901,Maximum Experience,Luxembourg,Primary education,Most prevalent qualification at this stage of career,126575.92,Statutory working time required at school,Hours per year,989.6,127.90614389652384
1902,No Experience,Luxembourg,Upper secondary general education,Maximum qualification at this stage of career,81199.641,Statutory teaching time,Hours per year,739.2,109.84799918831169
1903,No Experience,Luxembourg,Upper secondary general education,Maximum qualification at this stage of career,81199.641,Total statutory working time,Hours per year,1228.8,66.08043701171876
1904,No Experience,Luxembourg,Upper secondary general education,Maximum qualification at this stage of career,81199.641,Statutory working time required at school,Hours per year,859.2,94.5060998603352
1905,No Experience,Luxembourg,Upper secondary general education,Minimum qualification at this stage of career,81199.641,Statutory teaching time,Hours per year,739.2,109.84799918831169
1906,No Experience,Luxembourg,Upper secondary general education,Minimum qualification at this stage of career,81199.641,Total statutory working time,Hours per year,1228.8,66.08043701171876
1907,No Experience,Luxembourg,Upper secondary general education,Minimum qualification at this stage of career,81199.641,Statutory working time required at school,Hours per year,859.2,94.5060998603352
1908,No Experience,Luxembourg,Upper secondary general education,Most prevalent qualification at this stage of career,81199.641,Statutory teaching time,Hours per year,739.2,109.84799918831169
1909,No Experience,Luxembourg,Upper secondary general education,Most prevalent qualification at this stage of career,81199.641,Total statutory working time,Hours per year,1228.8,66.08043701171876
1910,No Experience,Luxembourg,Upper secondary general education,Most prevalent qualification at this stage of career,81199.641,Statutory working time required at school,Hours per year,859.2,94.5060998603352
1911,10 years of Experience,Luxembourg,Upper secondary general education,Maximum qualification at this stage of career,101499.55,Statutory teaching time,Hours per year,739.2,137.3099972943723
1912,10 years of Experience,Luxembourg,Upper secondary general education,Maximum qualification at this stage of career,101499.55,Total statutory working time,Hours per year,1228.8,82.60054524739584
1913,10 years of Experience,Luxembourg,Upper secondary general education,Maximum qualification at this stage of career,101499.55,Statutory working time required at school,Hours per year,859.2,118.13262337057728
1914,10 years of Experience,Luxembourg,Upper secondary general education,Minimum qualification at this stage of career,101499.55,Statutory teaching time,Hours per year,739.2,137.3099972943723
1915,10 years of Experience,Luxembourg,Upper secondary general education,Minimum qualification at this stage of career,101499.55,Total statutory working time,Hours per year,1228.8,82.60054524739584
1916,10 years of Experience,Luxembourg,Upper secondary general education,Minimum qualification at this stage of career,101499.55,Statutory working time required at school,Hours per year,859.2,118.13262337057728
1917,10 years of Experience,Luxembourg,Upper secondary general education,Most prevalent qualification at this stage of career,101499.55,Statutory teaching time,Hours per year,739.2,137.3099972943723
1918,10 years of Experience,Luxembourg,Upper secondary general education,Most prevalent qualification at this stage of career,101499.55,Total statutory working time,Hours per year,1228.8,82.60054524739584
1919,10 years of Experience,Luxembourg,Upper secondary general education,Most prevalent qualification at this stage of career,101499.55,Statutory working time required at school,Hours per year,859.2,118.13262337057728
1920,15 years of Experience,Luxembourg,Upper secondary general education,Maximum qualification at this stage of career,112007.74,Statutory teaching time,Hours per year,739.2,151.52562229437228
1921,15 years of Experience,Luxembourg,Upper secondary general education,Maximum qualification at this stage of career,112007.74,Total statutory working time,Hours per year,1228.8,91.15213216145834
1922,15 years of Experience,Luxembourg,Upper secondary general education,Maximum qualification at this stage of career,112007.74,Statutory working time required at school,Hours per year,859.2,130.36282588454375
1923,15 years of Experience,Luxembourg,Upper secondary general education,Minimum qualification at this stage of career,112007.74,Statutory teaching time,Hours per year,739.2,151.52562229437228
1924,15 years of Experience,Luxembourg,Upper secondary general education,Minimum qualification at this stage of career,112007.74,Total statutory working time,Hours per year,1228.8,91.15213216145834
1925,15 years of Experience,Luxembourg,Upper secondary general education,Minimum qualification at this stage of career,112007.74,Statutory working time required at school,Hours per year,859.2,130.36282588454375
